DEBUG 2024-05-17 08:35:18,637 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1714980986.6059923
DEBUG 2024-05-17 08:35:18,639 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\views\i18n.py first seen with mtime 1714980987.0310924
DEBUG 2024-05-17 08:35:18,640 autoreload File C:\python310\Lib\contextlib.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,640 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\common\actions\key_actions.py first seen with mtime 1715065725.9685483
DEBUG 2024-05-17 08:35:18,641 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\soupsieve\util.py first seen with mtime 1714981358.9462845
DEBUG 2024-05-17 08:35:18,641 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1714980986.6709116
DEBUG 2024-05-17 08:35:18,642 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1714980986.915843
DEBUG 2024-05-17 08:35:18,642 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1714980986.5963075
DEBUG 2024-05-17 08:35:18,643 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1714981322.3948178
DEBUG 2024-05-17 08:35:18,643 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\urls\__init__.py first seen with mtime 1714980986.9660206
DEBUG 2024-05-17 08:35:18,644 autoreload File C:\python310\Lib\io.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,644 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1714980986.610999
DEBUG 2024-05-17 08:35:18,645 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\template\backends\base.py first seen with mtime 1714980986.9360416
DEBUG 2024-05-17 08:35:18,645 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1714981323.0823817
DEBUG 2024-05-17 08:35:18,646 autoreload File C:\python310\Lib\asyncio\subprocess.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,646 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\bs4\builder\__init__.py first seen with mtime 1714981359.096298
DEBUG 2024-05-17 08:35:18,646 autoreload File C:\python310\Lib\asyncio\base_subprocess.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,647 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1714980983.9261453
DEBUG 2024-05-17 08:35:18,648 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\utils\text.py first seen with mtime 1714980987.0109978
DEBUG 2024-05-17 08:35:18,648 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\chrome\__init__.py first seen with mtime 1715065725.9373055
DEBUG 2024-05-17 08:35:18,649 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1714980981.9303937
DEBUG 2024-05-17 08:35:18,649 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\bs4\formatter.py first seen with mtime 1714981359.096298
DEBUG 2024-05-17 08:35:18,650 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\chrome\service.py first seen with mtime 1715065725.9529266
DEBUG 2024-05-17 08:35:18,650 autoreload File C:\python310\Lib\zoneinfo\_tzpath.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,651 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1714980982.9962518
DEBUG 2024-05-17 08:35:18,651 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1714980981.9303937
DEBUG 2024-05-17 08:35:18,652 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1714981323.0739295
DEBUG 2024-05-17 08:35:18,652 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1714980984.1860025
DEBUG 2024-05-17 08:35:18,653 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1714980986.680945
DEBUG 2024-05-17 08:35:18,653 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\template\utils.py first seen with mtime 1714980986.9360416
DEBUG 2024-05-17 08:35:18,653 autoreload File C:\python310\Lib\__future__.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,654 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1714980983.6560838
DEBUG 2024-05-17 08:35:18,654 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1714980986.776097
DEBUG 2024-05-17 08:35:18,654 autoreload File C:\python310\Lib\hashlib.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,655 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\chromium\remote_connection.py first seen with mtime 1715065725.9529266
DEBUG 2024-05-17 08:35:18,656 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\transaction.py first seen with mtime 1714980986.6759334
DEBUG 2024-05-17 08:35:18,656 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\firefox\__init__.py first seen with mtime 1715065726.4033136
DEBUG 2024-05-17 08:35:18,657 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\soupsieve\css_parser.py first seen with mtime 1714981358.9462845
DEBUG 2024-05-17 08:35:18,657 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\soupsieve\pretty.py first seen with mtime 1714981358.9462845
DEBUG 2024-05-17 08:35:18,658 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1714980987.0059896
DEBUG 2024-05-17 08:35:18,658 autoreload File C:\python310\Lib\asyncio\futures.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,659 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1714980983.9160912
DEBUG 2024-05-17 08:35:18,659 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\firefox\service.py first seen with mtime 1715065726.4106038
DEBUG 2024-05-17 08:35:18,660 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\urllib3\response.py first seen with mtime 1714981322.3717237
DEBUG 2024-05-17 08:35:18,660 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\template\context.py first seen with mtime 1714980986.9261415
DEBUG 2024-05-17 08:35:18,660 autoreload File C:\python310\Lib\email\_parseaddr.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,661 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1714980986.9758606
DEBUG 2024-05-17 08:35:18,661 autoreload File C:\python310\Lib\asyncio\streams.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,662 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\shortcuts.py first seen with mtime 1714980982.5858755
DEBUG 2024-05-17 08:35:18,662 autoreload File C:\python310\Lib\quopri.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,663 autoreload File C:\python310\Lib\multiprocessing\__init__.py first seen with mtime 1680652042.0
